SUBJECT, LOG, ENEMIES_DOWN, BULLETS_FIRED, X, Y, Z, BULLET_HITS, HEALTH
365 , 4/13/2017 12:23:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:17 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:17 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:18 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:18 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:19 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:19 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:20 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:20 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:21 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:21 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:22 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:22 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:23 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:10 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:11 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:11 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:12 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:12 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:15 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

913 , 4/13/2017 12:24:16 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:57 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

746 , 4/13/2017 1:42:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:43:45 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:26 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:27 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:27 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

699 , 4/13/2017 1:44:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

992 , 4/13/2017 1:44:39 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

992 , 4/13/2017 1:45:23 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

992 , 4/13/2017 1:45:24 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

992 , 4/13/2017 1:45:24 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:27 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:28 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:29 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

35 , 4/13/2017 1:45:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

